,IU_LQ,MS_KK,LQ_PZ,QG_IU,PZ_QG,IU_LQ,PZ_MS,KK_IU,QG_LQ,KK_PZ
PP_rr,7.16,10,3,6,3.66,3.33,8.66,9.33,7.33,5.5
PP_wkt_rem,7,8,7,9,8,6,10,9,9,7
mid_rr,6.6,8.66,6.4,7.33,9.4,7,7.33,8.6,7.66,4.66
mid_wkt_rem,3,5,6,5,7,5,6,8,5,4
RR,7.15,8.8,8.5,6.65,9.85,7.6,8.3,9.5,7.9,5.4
T2_rrr_1,7.16,9.26,8.89,6.05,10.26,7.47,8,9.74,8.16,5.21
T2_wkt_rem_1,10,10,10,10,10,10,10,10,9,10
T2_rrr_2,7.28,9.67,9.22,5.94,10.67,7.78,7.89,9.94,8.22,5.22
T2_wkt_rem_2,10,10,8,10,10,10,10,10,9,9
T2_rrr_3,7.41,9.82,9.59,5.59,10.76,7.53,7.29,10.35,8,4.29
T2_wkt_rem_3,10,10,8,10,10,10,10,10,9,9
T2_rrr_4,7.56,10.19,9.75,5,10.44,7.44,7.63,10.44,8.25,3.19
T2_wkt_rem_4,9,9,8,10,10,10,9,10,8,9
T2_rrr_5,7.4,10.13,9.93,3.93,10.8,7.07,7.4,10.13,8.4,2.73
T2_wkt_rem_5,9,9,8,10,10,10,9,9,7,9
T2_rrr_6,7.57,10.43,9.86,2.64,11.07,7,7.71,10.57,8.5,2.36
T2_wkt_rem_6,9,9,8,10,10,9,9,8,6,9
T2_rrr_7,7.69,10.46,10.38,2.31,11.08,7,7,10.92,8.54,1.77
T2_wkt_rem_7,9,9,8,10,10,8,9,8,5,9
T2_rrr_8,8.25,10.83,10,1.74,11.33,6.5,7,10.83,8.67,0.83
T2_wkt_rem_8,8,9,8,10,9,8,9,8,5,9
T2_rrr_9,8.55,11,10.55,0.64,11.73,6.36,7.09,11.18,9.27,0.91
T2_wkt_rem_9,8,9,8,10,9,8,9,8,4,7
T2_rrr_10,8.7,11.5,11.4,0,12.8,6.7,6.7,11.9,9.5,0.7
T2_wkt_rem_10,8,8,6,10,6,8,9,8,4,6
T2_rrr_11,8.67,11.44,10.89,0,12.56,7.22,6.89,12,10.33,0.56
T2_wkt_rem_11,8,8,6,10,6,6,9,8,4,6
T2_rrr_12,7.88,12.5,12.25,0,13.88,7.66,6.63,12.13,11.38,0
T2_wkt_rem_12,8,7,6,10,4,6,9,8,3,6
T2_rrr_13,8.43,12.86,12.43,0,15.14,8.14,6,11.42,9.71,0
T2_wkt_rem_13,7,7,6,10,4,5,9,8,3,6
T2_rrr_14,8,14.17,12.17,0,16.33,9,6.17,9.57,10.67,0
T2_wkt_rem_14,7,7,4,10,4,3,9,8,3,6
T2_rrr_15,9.2,14.8,11.8,0,19.2,10.6,6,9.2,10.8,0
T2_wkt_rem_15,6,7,4,10,4,1,9,8,2,6
T2_rrr_16,10,15.5,14,0,23,12.25,3,8.25,10.5,0
T2_wkt_rem_16,6,7,3,10,4,1,9,8,2,6
T2_rrr_17,10,16.67,14.33,0,28,14.67,0,7.66,12.33,0
T2_wkt_rem_17,6,7,3,10,4,1,10,8,1,6
T2_rrr_18,11.5,18,20.5,0,37.5,15,0,6,40,0
T2_wkt_rem_18,6,7,3,10,3,1,10,8,0,6
T2_rrr_19,16,23,24,0,69,100,0,0,40,0
T2_wkt_rem_19,5,6,2,10,1,0,10,8,0,6
